Wavelength_nm,Responsivity
861.0,31.79643257
862.0,31.89730636
863.0,31.99206901
864.0,32.08667002
865.0,32.17832141
866.0,32.26919554
867.0,32.35946654
868.0,32.45003608
869.0,32.54216031
870.0,32.63659963
871.0,32.73512661
872.0,32.83768807
873.0,32.94744342
874.0,33.06149610
875.0,33.18642938
876.0,33.31434329
877.0,33.45643278
878.0,33.60184764
879.0,33.75835688
880.0,33.92024046
881.0,34.09068223
882.0,34.26716861
883.0,34.45045301
884.0,34.63920667
885.0,34.83358739
886.0,35.03211235
887.0,35.23491417
888.0,35.44058759
889.0,35.64791568
890.0,35.85770290
891.0,36.06498766
892.0,36.27344703
893.0,36.47725916
894.0,36.67948481
895.0,36.87607384
896.0,37.06846694
897.0,37.25446649
898.0,37.43510351
899.0,37.60851905
900.0,37.77746811
901.0,37.93851008
902.0,38.09754858
903.0,38.24892339
904.0,38.40045643
905.0,38.54775389
906.0,38.69592225
907.0,38.84516064
908.0,38.99663861
909.0,39.15265802
910.0,39.31355850
911.0,39.48156443
912.0,39.65670690
913.0,39.84161247
914.0,40.03427178
915.0,40.23968238
916.0,40.45139509
917.0,40.67840085
918.0,40.90993091
919.0,41.15462065
920.0,41.40287486
921.0,41.59232465
922.0,41.59232465
923.0,41.59232465
924.0,41.59232465
925.0,41.59232465
926.0,41.59232465
927.0,41.59232465
928.0,41.59232465
929.0,41.59232465
930.0,41.59232465
931.0,41.59232465
932.0,41.59232465
933.0,41.59232465
934.0,41.59232465
935.0,41.59232465
936.0,41.59232465
937.0,41.59232465
938.0,41.59232465
939.0,41.59232465
940.0,41.59232465
941.0,41.59232465
942.0,41.59232465
943.0,41.59232465
944.0,41.59232465
945.0,41.59232465
946.0,41.59232465
947.0,41.59232465
948.0,41.59232465
949.0,41.59232465
950.0,41.59232465
951.0,41.59232465
952.0,41.59232465
953.0,41.59232465
954.0,41.59232465
955.0,41.59232465
956.0,41.59232465
957.0,41.59232465
958.0,41.59232465
959.0,41.59232465
960.0,41.59232465
961.0,41.59232465
962.0,41.59232465
963.0,41.59232465
964.0,41.59232465
965.0,41.59232465
966.0,41.59232465
967.0,41.59232465
968.0,41.59232465
969.0,41.59232465
970.0,41.59232465
971.0,41.59232465
972.0,41.59232465
973.0,41.59232465
974.0,41.59232465
975.0,41.59232465
976.0,41.59232465
977.0,41.59232465
978.0,41.59232465
979.0,41.59232465
980.0,41.59232465
981.0,41.59232465
982.0,41.59232465
983.0,41.59232465
984.0,41.59232465
985.0,41.59232465
986.0,41.59232465
987.0,41.59232465
988.0,41.59232465
989.0,41.59232465
990.0,41.59232465
991.0,41.59232465
992.0,41.59232465
993.0,41.59232465
994.0,41.59232465
995.0,41.59232465
996.0,41.59232465
997.0,41.59232465
998.0,41.59232465
999.0,41.59232465
1000.0,41.59232465
1001.0,41.59232465
1002.0,41.59232465
1003.0,41.59232465
1004.0,41.59232465
1005.0,41.59232465
1006.0,41.59232465
1007.0,41.59232465
1008.0,41.59232465
1009.0,41.59232465
1010.0,41.59232465
1011.0,41.59232465
1012.0,41.59232465
1013.0,41.59232465
1014.0,41.59232465
1015.0,41.59232465
1016.0,41.59232465
1017.0,41.59232465
1018.0,41.59232465
1019.0,41.59232465
1020.0,41.59232465
1021.0,41.59232465
1022.0,41.59232465
1023.0,41.59232465
1024.0,41.59232465
1025.0,41.59232465
1026.0,41.59232465
1027.0,41.59232465
1028.0,41.59232465
1029.0,41.59232465
1030.0,41.59232465
1031.0,41.59232465
1032.0,41.59232465
1033.0,41.59232465
1034.0,41.59232465
1035.0,41.59232465
1036.0,41.59232465
1037.0,41.59232465
1038.0,41.59232465
1039.0,41.59232465
1040.0,41.59232465
1041.0,41.59232465
1042.0,41.59232465
1043.0,41.59232465
1044.0,41.59232465
1045.0,41.59232465
1046.0,41.59232465
1047.0,41.59232465
1048.0,41.59232465
1049.0,41.59232465
1050.0,41.59232465
1051.0,41.59232465
1052.0,41.59232465
1053.0,41.59232465
1054.0,41.59232465
1055.0,41.59232465
1056.0,41.59232465
1057.0,41.59232465
1058.0,41.59232465
1059.0,41.59232465
1060.0,41.59232465
1061.0,41.59232465
1062.0,41.59232465
1063.0,41.59232465
1064.0,41.59232465
1065.0,41.59232465
1066.0,41.59232465
1067.0,41.59232465
1068.0,41.59232465
1069.0,41.59232465
1070.0,41.59232465
1071.0,41.59232465
1072.0,41.59232465
1073.0,41.59232465
1074.0,41.59232465
1075.0,41.59232465
1076.0,41.59232465
1077.0,41.59232465
1078.0,41.59232465
1079.0,41.59232465
1080.0,41.59232465
1081.0,41.59232465
1082.0,41.59232465
1083.0,41.59232465
1084.0,41.59232465
1085.0,41.59232465
1086.0,41.59232465
1087.0,41.59232465
1088.0,41.59232465
1089.0,41.59232465
1090.0,41.59232465
1091.0,41.59232465
1092.0,41.59232465
1093.0,41.59232465
1094.0,41.59232465
1095.0,41.59232465
1096.0,41.59232465
1097.0,41.59232465
1098.0,41.59232465
1099.0,41.59232465
1100.0,41.59232465
